datasetURL (publicationState),datasetTitle (dataverseName),"fileName (fileType, fileSize)"
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RZP6NS (RELEASED),Inflation expectations and macroeconomic data from Brazil (Inflation Expectations and Macroeconomic Data Brazil Dataverse),Dados Geral Repositorio.tab (text/tab-separated-values; 26.8 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",allgroups.tsv (text/tsv; 3.15 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",authorgroups.tsv (text/tsv; 101.24 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",authorsets.tab (text/tab-separated-values; 14.44 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",bad_id_tester.py (text/x-python; 2.03 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",comparativetrends.png (image/png; 512.24 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",compare_stanford_trends.ipynb (application/x-ipynb+json; 318.53 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",connected.png (image/png; 123.1 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",contested_volumes.tab (text/tab-separated-values; 7.29 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",CorrectionRules.txt (text/plain; 1.96 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",EDA_on_manual_title_subset.ipynb (application/x-ipynb+json; 300.93 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",enrichpre23.py (text/x-python; 3.12 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",errorcurve.png (image/png; 129.85 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fic0.json (application/json; 45.59 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fic10.json (application/json; 46.3 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fic11.json (application/json; 45.75 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fic12.json (application/json; 33.29 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fic1.json (application/json; 47.47 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fic2.json (application/json; 47.26 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fic3.json (application/json; 47.22 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fic4.json (application/json; 56.07 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fic5.json (application/json; 55.6 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fic6.json (application/json; 47.45 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fic7.json (application/json; 36.89 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fic8.json (application/json; 46.88 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fic9.json (application/json; 47.03 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fictionfrequencies.tab (text/tab-separated-values; 55.83 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",filename_translator.tab (text/tab-separated-values; 33.25 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",final_polish_recordmeta.ipynb (application/x-ipynb+json; 9.53 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",final_polish_titlemeta.ipynb (application/x-ipynb+json; 8.78 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",first_deduplication.ipynb (application/x-ipynb+json; 29.75 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",firstrandomselection.ipynb (application/x-ipynb+json; 54.87 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",firstsample.tab (text/tab-separated-values; 936.75 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fix_docids_and_copies.ipynb (application/x-ipynb+json; 10.66 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",frequently_reprinted_datadict.md (text/markdown; 5.29 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",frequently_reprinted_subset.tab (text/tab-separated-values; 847.73 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",fulltrainingdata.tab (text/tab-separated-values; 211.42 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",gather_oa.py (text/x-python; 1.86 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUCBA (DRAFT),"NovelTM Metadata for English-Language Fiction, 1700-2009 (Harvard Dataverse)",gender_balanced_subset.tab (text/tab-separated-values; 320.11 KB)
